セリフ,ChracterName,BlockName,FileName
"ったく、砂漠の次は雪国かよ。
今度は凍えながら仕事しろってことだな。",Hero,HeadToSnowCountry,Hero_normal_normal
ふふ。ガドなら、このくらいの寒さは平気だろう？,Axis,HeadToSnowCountry,Axis_normal_normal
アノンと同じこと言うなって。,Hero,HeadToSnowCountry,Hero_normal_normal
ふふ。お二人、本当に仲がいいんですね。,Heroin,HeadToSnowCountry,Heroin_flexible_smile
まあ、付き合いだけは長いからな。嫌でも慣れるってもんだ。,Hero,HeadToSnowCountry,Hero_normal_normal
それはお互い様だね。,Axis,HeadToSnowCountry,Axis_normal_normal
あの、雪の村って、どんなところなんですか？,Heroin,HeadToSnowCountry,Heroin_flexible_normal
"山の麓にある、小さな村だよ。
普段は王都とも定期的に物資のやり取りを
しているんだけどね。",Axis,HeadToSnowCountry,Axis_normal_normal
"今回は、その村から届くはずの荷物が
急に途絶えてしまった。
それで、僕たちが様子を見に行くことになったんだ",Axis,HeadToSnowCountry,Axis_normal_normal
"多少の遅れなら珍しくもねぇんだけどな。
何の連絡もなしにぱったり止まるってのは、
ちょっと気になるなぁ。",Hero,HeadToSnowCountry,Hero_normal_normal
やっぱり、何かあったんでしょうか。,Heroin,HeadToSnowCountry,Heroin_flexible_troubled
"まだ何とも言えないね。
だからこそ、直接確かめに行く必要がある。",Axis,HeadToSnowCountry,Axis_normal_normal
"そうですよね。
行ってみないと、何も分からないですもんね。",Heroin,HeadToSnowCountry,Heroin_flexible_normal
"ま、何があったとしても俺たちに任せとけ。
さっさと仕事を片づけて、こんな寒いところから帰ろうぜ。",Hero,HeadToSnowCountry,Hero_normal_smile
ふふ。はい、そうですね。,Heroin,HeadToSnowCountry,Heroin_flexible_smile
それじゃあ、まずは雪の村まで無事にたどり着こうか。,Axis,HeadToSnowCountry,Axis_normal_normal
"どうやら、馬車で進めるのはここまでみたいだね。
村までは、ここから歩いていかないといけないようだ。",Axis,HeadToSnowCountry,Axis_normal_normal
もうすぐそこなんですよね。,Heroin,HeadToSnowCountry,Heroin_flexible_normal
ああ。村までは、それほど遠くないよ。,Axis,HeadToSnowCountry,Axis_normal_normal
ああそう、僕はここにいることにするよ。,Axis,HeadToSnowCountry,Axis_normal_normal
は？ すぐそこなんだから、一緒に来りゃいいだろ。,Hero,HeadToSnowCountry,Hero_normal_normal
"いや、だって寒……馬車を見ておかないとね。
何かあってからでは遅いから。",Axis,HeadToSnowCountry,Axis_normal_normal
おい、今「寒い」って言いかけただろ。,Hero,HeadToSnowCountry,Hero_normal_surprised
ふふ。気のせいじゃないかな。,Axis,HeadToSnowCountry,Axis_normal_normal
ったく。自分だけ動かずに残りやがって。,Hero,HeadToSnowCountry,Hero_normal_normal
まあいい。ノエリ、行こうぜ。,Hero,HeadToSnowCountry,Hero_normal_normal
はい。行きましょう、ガドさん。,Heroin,HeadToSnowCountry,Heroin_flexible_normal
ここが、雪の村なんですね。,Heroin,EnterSnowVillage,Heroin_flexible_normal
"ああ。村長は一番大きい家にいるらしい。
まずはそこへ行こうぜ。",Hero,EnterSnowVillage,Hero_normal_normal
"やっぱり駄目です。
村の周りには、動物が一匹も見当たりません。",SnowVillageMan1,FirstTalkedToVillageChief,
そうか……。やはり、今日も駄目じゃったか。,SnowVillageOldMan1,FirstTalkedToVillageChief,
"一応、もう一度遠くまで探してきます。
何か分かったらすぐに戻ります。",SnowVillageMan1,FirstTalkedToVillageChief,
ああ。だが、あまり無理はするでないぞ。,SnowVillageOldMan1,FirstTalkedToVillageChief,
分かりました。,SnowVillageMan1,FirstTalkedToVillageChief,
"ずいぶん困ってるみてぇだな。
ちょっと話を聞いてもいいか？",Hero,FirstTalkedToVillageChief,Hero_normal_normal
"おや、その格好……ギルドの方じゃな。
わざわざ来てもらったところ申し訳ないが、
納品については、もう少し待ってもらえんかのう。",SnowVillageOldMan1,FirstTalkedToVillageChief,
やっぱり、何かあったのか？,Hero,FirstTalkedToVillageChief,Hero_normal_thinking
"ここ最近、村の周りの木が次々と切り倒されておってな。
外に置いていた食材まで、ひどく荒らされてしまったんじゃ。",SnowVillageOldMan1,FirstTalkedToVillageChief,
"それだけではない。村の近くにいた獣たちも、
何かに怯えるように姿を消してしもうてな。
今では狩りにも出られん有様じゃ。",SnowVillageOldMan1,FirstTalkedToVillageChief,
"そこまで派手にやられてるなら、
何が原因かくらいすぐ分かりそうなもんだけどな。",Hero,FirstTalkedToVillageChief,Hero_normal_thinking
"それがのう、実際に何かが壊しているところを見た者は、
一人もおらんのじゃ。",SnowVillageOldMan1,FirstTalkedToVillageChief,
"大きな音がして、すぐに駆けつけても、そこには誰もおらん。
残っているのは、壊された木や食材ばかりでな。",SnowVillageOldMan1,FirstTalkedToVillageChief,
……なるほどな。思ってたより厄介そうだ。,Hero,FirstTalkedToVillageChief,Hero_normal_thinking
ガドさん、私たちでも調べてみませんか？,Heroin,FirstTalkedToVillageChief,Heroin_flexible_troubled
"ああ。そのために来たんだしな。
俺たちで一度、村の周りを見てみよう。",Hero,FirstTalkedToVillageChief,Hero_normal_normal
爺さん、ほかに何か気になってることはないか？,Hero,FirstTalkedToVillageChief,Hero_normal_normal
そうじゃな……。一つ、少し気になっていることがある。,SnowVillageOldMan1,FirstTalkedToVillageChief,
何ですか？,Heroin,FirstTalkedToVillageChief,Heroin_flexible_normal
"村から洞窟を抜けた先に、古い塔があるんじゃが、
最近そこに何者かが住み着いたようでな。",SnowVillageOldMan1,FirstTalkedToVillageChief,
"今回のことと関係があるかは分からんが、
以前は誰も使っておらん場所じゃった。
それだけに、どうにも気になっておるんじゃ。",SnowVillageOldMan1,FirstTalkedToVillageChief,
"分かりました。
私たちで、その塔についても調べてみます。",Heroin,FirstTalkedToVillageChief,Heroin_flexible_normal
すまんのう。助かる。,SnowVillageOldMan1,FirstTalkedToVillageChief,
"このまま獣が戻らず、食べ物まで荒らされ続ければ、
いずれ村の者たちが飢えてしまう。",SnowVillageOldMan1,FirstTalkedToVillageChief,
"そうなる前に、何とかせねばならんのじゃ。
どうか、よろしく頼む。",SnowVillageOldMan1,FirstTalkedToVillageChief,
さて、まずは近くのやつから話を聞いてみるか。,Hero,FirstMetBoy,Hero_normal_thinking
おーい、そこの坊主。ちょっといいか？,Hero,FirstMetBoy,Hero_normal_normal
ん？　なに？,SnowVillageBoy2,FirstMetBoy,
"この辺で妙なことが起きてるらしいんだが、
何か知らねぇか？",Hero,FirstMetBoy,Hero_normal_normal
妙なこと？,SnowVillageBoy2,FirstMetBoy,
"木が切り倒されたり、
食べ物が荒らされたりしてるって話だ。",Hero,FirstMetBoy,Hero_normal_normal
"ああ、それなら友達も言ってたよ。
最近、外がちょっと変だって。",SnowVillageBoy2,FirstMetBoy,
それと、村の外れにある塔についても聞きたくてな。,Hero,FirstMetBoy,Hero_normal_normal
塔……？,SnowVillageBoy2,FirstMetBoy,
ああ。最近、何かが住み着いたって聞いたんだが。,Hero,FirstMetBoy,Hero_normal_normal
えっと、その塔なら……僕、よく知らないよ。,SnowVillageBoy2,FirstMetBoy,
あの、もし何か知ってたら、教えてくれない？,Heroin,FirstMetBoy,Heroin_flexible_normal
し、知らないって。僕、もう行かなきゃ。,SnowVillageBoy2,FirstMetBoy,
おい、ちょっと待てって。,Hero,FirstMetBoy,Hero_normal_surprised
……なんだ、あいつ。,Hero,FirstMetBoy,Hero_normal_normal
ずいぶん慌ててましたね。,Heroin,FirstMetBoy,Heroin_flexible_normal
"まあ、どうせ子供のことだ。
深く考えても仕方ねぇだろ。",Hero,FirstMetBoy,Hero_normal_normal
とりあえず、塔があるっていう方へ行ってみようぜ。,Hero,FirstMetBoy,Hero_normal_normal
あれ、こんなところに何だろう……。,Heroin,DiscoveredParkEntrance,Heroin_flexible_normal
あの……ここって、どういう場所なんですか？,Heroin,FirstTalkedToFrogShopManager,Heroin_flexible_normal
"俺が品を置いている場所だ。
必要なものがあるなら見ていくといい。",???,FirstTalkedToFrogShopManager,
じゃあ、お店なんですね。,Heroin,FirstTalkedToFrogShopManager,Heroin_flexible_normal
そういうことになるな。,???,FirstTalkedToFrogShopManager,
あっ、私はノエリです。あなたは……？,Heroin,FirstTalkedToFrogShopManager,Heroin_flexible_normal
ドウェルだ。ここで品を売っている。,FrogShopManager,FirstTalkedToFrogShopManager,FrogShopManager_normal_normal
あっ、さっきの男の子……！,Heroin,ReachedTowerEntrance,Heroin_flexible_normal
おいおい。あいつ、こんなところまで来てたのか。,Hero,ReachedTowerEntrance,Hero_normal_surprised
でも、扉が閉まっちゃいました。,Heroin,ReachedTowerEntrance,Heroin_flexible_normal
"こっちは通してくれねぇってわけか。
ずいぶん歓迎されてねぇみたいだな。",Hero,ReachedTowerEntrance,Hero_normal_normal
どうしましょう、ガドさん。,Heroin,ReachedTowerEntrance,Heroin_flexible_troubled
"仕方ねぇ。塔を登りながら、
向こう側へ行く方法を探してみようぜ。",Hero,ReachedTowerEntrance,Hero_normal_normal
あれ、これ……入口にあったクリスタルと同じですよね。,Heroin,ReachedTowerLanding2,Heroin_flexible_normal
